Abdomen, Acute	C23.888.821.030.249
Varicocele	C14.907.903
Varicose Ulcer	C14.907.927.730
Varicose Veins	C14.907.927
Vascular Calcification	C18.452.174.130.780
Vascular Diseases	C14.907
Vascular Headaches	C10.228.140.546.699.500
Vascular Malformations	C14.240.850
Vascular System Injuries	C26.940
Vasculitis	C14.907.940
Vasculitis, Central Nervous System	C10.228.140.300.850
Vasculitis, Leukocytoclastic, Cutaneous	C14.907.940.910
Vasospasm, Intracranial	C14.907.253.951
Velopharyngeal Insufficiency	C16.131.850.525.955
Venous Thromboembolism	C14.907.355.830.850.700
Venous Thrombosis	C14.907.355.830.925
Ventilator-Induced Lung Injury	C08.381.520.750
Ventricular Dysfunction	C14.280.945
Ventricular Dysfunction, Left	C14.280.945.900
Ventricular Dysfunction, Right	C14.280.945.910
Ventricular Fibrillation	C23.550.073.922
Ventricular Premature Complexes	C23.550.073.325.800
Ventricular Remodeling	G09.330.190.962.975
Vertigo	C23.888.592.958
Vesico-Ureteral Reflux	C12.777.829.920
Vestibular Diseases	C09.218.568.900
Vestibular Neuronitis	C10.292.910.850
Vipoma	C19.344.421.500.750
Viremia	C23.550.470.790.500.900
Virilism	C23.888.971
Virus Diseases	C02
Visceral Pain	C23.888.646.511.500
Vision Disorders	C23.888.592.763.941
Vision, Low	C23.888.592.763.941.848
Vitamin A Deficiency	C18.654.521.500.133.628
Vitamin B 12 Deficiency	C18.654.521.500.133.699.923
Vitamin D Deficiency	C18.654.521.500.133.770
Vitelliform Macular Dystrophy	C11.768.585.439.433
Vitiligo	C17.800.621.440.895
Vitreoretinopathy, Proliferative	C11.975
Vitreous Detachment	C11.980
Vitreous Hemorrhage	C23.550.414.756.887
Voice Disorders	C23.888.592.979
Vomiting	C23.888.821.937
Vulvar Diseases	C13.351.500.944
Vulvar Lichen Sclerosus	C13.351.500.944.815
Vulvar Neoplasms	C13.351.500.944.819
Vulvar Vestibulitis	C13.351.500.944.902.368
Vulvodynia	C13.351.500.944.951
Vulvovaginitis	C13.351.500.944.902.737
Waldenstrom Macroglobulinemia	C14.907.454.960
Warts	C17.800.838.790.810
Wasting Disease, Chronic	C22.955
Wasting Syndrome	C18.654.940
Water-Electrolyte Imbalance	C18.452.950
Water Intoxication	C25.723.932
Weight Gain	G07.700.320.249.314.120.200.926
Weight Loss	G07.700.320.249.314.120.200.963
Weil Disease	C01.252.400.511.739
Werner Syndrome	C16.320.925
West Nile Fever	C10.228.228.245.340.310.950
Wet Macular Degeneration	C11.768.585.439.622
Whiplash Injuries	C26.700.500
White Coat Hypertension	C14.907.489.907
Whooping Cough	C01.539.739.969
Williams Syndrome	C14.280.484.150.535.960
Wilms Tumor	C13.351.968.419.473.585
Wiskott-Aldrich Syndrome	C15.378.100.100.970
Wolfram Syndrome	C10.597.751.941.162.625.750
Wolman Disease	C16.320.565.595.201.500
Wound Infection	C26.951
Wounds and Injuries	C26
Wounds, Penetrating	C26.986
Wrist Injuries	C26.088.906
Xanthomatosis	C18.452.584.750
Xanthomatosis, Cerebrotendinous	C16.320.565.398.925
Xeroderma Pigmentosum	C16.320.850.970
Xerostomia	C07.465.815.929
X-Linked Combined Immunodeficiency Diseases	C16.320.322.968
Yellow Fever	C02.081.980
Zellweger Syndrome	C12.777.419.978
Zollinger-Ellison Syndrome	C06.301.371.883
Zygomycosis	C01.703.980
